VERSI,SEKSYEN,MSIC 2025,MALAY DESCRIPTION FOR MSIC 2025,ENGLISH DESCRIPTION FOR MSIC 2025,SEKSYEN,MSIC 2008,MALAY DESCRIPTION FOR MSIC 2008,ENGLISH DESCRIPTION FOR MSIC 2008
2025,A,01111,Penanaman jagung,Growing of maize,A,01111,Penanaman jagung,Growing of maize
2025,A,01112,Penanaman tanaman kekacang,Growing of leguminous crops,A,01112,Penanaman tanaman kekacang,"Growing of leguminous crops growing of bean, peas, and pigeon peas"
2025,A,01113,Penanaman bijian berminyak,Growing of oil seeds,A,01113,Penanaman bijian berminyak,"Growing of oil seeds growing of soya beans, groundnut, sesame seeds and sunflower seeds"
2025,A,01119,Penanaman bijirin lain t.t.t.l.,Growing of other cereals n.e.c.,A,01119,Penanaman bijirin lain t.t.t.l,Growing of other cereals n.e.c.
2025,A,01120,Penanaman beras (padi),Growing of rice (paddy),A,01120,Penanaman padi,Growing of paddy
2025,A,01131,Penanaman sawi,Growing of mustards,A,01131,Penanaman sayur-sayuran berdaun atau berbatang,"Growing of leafy or stem vegetables growing of asparagus, cabbages, spinach and lettuce"
2025,A,01132,Penanaman bayam,Growing of spinachs,A,01131,Penanaman sayur-sayuran berdaun atau berbatang,"Growing of leafy or stem vegetables growing of asparagus, cabbages, spinach and lettuce"
2025,A,01137,Penanaman kobis,Growing of cabbages,A,01131,Penanaman sayur-sayuran berdaun atau berbatang,"Growing of leafy or stem vegetables growing of asparagus, cabbages, spinach and lettuce"
2025,A,01135,Penanaman timun,Growing of cucumbers,A,01132,Penanaman sayur-sayuran berbuah,Growing of fruits bearing vegetables growing of cucumbers and tomatoes
2025,A,01136,Penanaman terung (aubergines),Growing of eggplants (aubergines),A,01132,Penanaman sayur-sayuran berbuah,Growing of fruits bearing vegetables growing of cucumbers and tomatoes
2025,A,01138,Penanaman tomato,Growing of tomatoes,A,01132,Penanaman sayur-sayuran berbuah,Growing of fruits bearing vegetables growing of cucumbers and tomatoes
2025,A,01133,Penanaman tembikai,Growing of melons,A,01133,Penanaman tembikai,"Growing of melons growing of watermelon, honey dew and rock melon"
2025,A,01134,Penanaman cendawan dan trufel,Growing of mushrooms and truffles,A,01134,Penanaman cendawan dan truffles,Growing of mushrooms and truffles
2025,A,01131,Penanaman sawi,Growing of mustards,A,01135,"Penanaman benih sayuran, kecuali benih bit","Growing of vegetables seeds, except beet seeds"
2025,A,01132,Penanaman bayam,Growing of spinachs,A,01135,"Penanaman benih sayuran, kecuali benih bit","Growing of vegetables seeds, except beet seeds"
2025,A,01137,Penanaman kobis,Growing of cabbages,A,01135,"Penanaman benih sayuran, kecuali benih bit","Growing of vegetables seeds, except beet seeds"
2025,A,01135,Penanaman timun,Growing of cucumbers,A,01135,"Penanaman benih sayuran, kecuali benih bit","Growing of vegetables seeds, except beet seeds"
2025,A,01136,Penanaman terung (aubergines),Growing of eggplants (aubergines),A,01135,"Penanaman benih sayuran, kecuali benih bit","Growing of vegetables seeds, except beet seeds"
2025,A,01138,Penanaman tomato,Growing of tomatoes,A,01135,"Penanaman benih sayuran, kecuali benih bit","Growing of vegetables seeds, except beet seeds"
2025,A,01139,Penanaman sayur-sayuran dan ubi lain t.t.t.l.,"Growing of vegetables and other tubers n.e,c",A,01135,"Penanaman benih sayuran, kecuali benih bit","Growing of vegetables seeds, except beet seeds"
2025,A,01139,Penanaman sayur-sayuran dan ubi lain t.t.t.l.,"Growing of vegetables and other tubers n.e,c",A,01136,Penanaman sayur-sayuran lain,Growing of other vegetables
2025,A,01139,Penanaman sayur-sayuran dan ubi lain t.t.t.l.,"Growing of vegetables and other tubers n.e,c",A,01137,Penanaman ubi gula,Growing of sugar beet
2025,A,01139,Penanaman sayur-sayuran dan ubi lain t.t.t.l.,"Growing of vegetables and other tubers n.e,c",A,01138,"Penanaman tumbuhan berakar, ubi-ubian, bebawang atau sayur-sayuran berubi","Growing of roots, tubers, bulb or tuberous vegetables growing of cassava, yams, carrots, garlic and tapioca"
2025,A,01140,Penanaman tebu,Growing of sugar cane,A,01140,Penanaman tebu,Growing of sugar cane
2025,A,01150,Penanaman tembakau,Growing of tobacco,A,01150,Penanaman tembakau,Growing of tobacco
2025,A,01161,Penanaman kenaf,Growing of kenaf,A,01160,Penanaman tanaman berserat,Growing of fibre crops
2025,A,01169,Penanaman tanaman berserat yang lain t.t.t.l.,Growing of other fibre crops n.e.c,A,01160,Penanaman tanaman berserat,Growing of fibre crops
2025,A,01191,Penanaman bunga,Growing of flowers,A,01191,Penanaman bunga,Growing of flowers production of cut flowers and flower buds
2025,A,01192,Penanaman biji benih bungaan,Growing of flower seeds,A,01192,Penanaman biji benih bungaan,Growing of flower seeds
2025,A,01193,Penanaman sagu (rumbia),Growing of sago (rumbia),A,01193,Penanaman sagu (rumbia),Growing of sago (rumbia)
2025,A,01199,Penanaman tanaman bukan kekal lain t.t.t.l.,Growing of other non-perennial crops n.e.c.,A,01199,Penanaman tanaman bukan kekal lain t.t.t.l,Growing of other non-perennial crops n.e.c. growing of maize for fodder
2025,A,01194,Penanaman napier,Growing of napier,A,01199,Penanaman tanaman bukan kekal lain t.t.t.l,Growing of other non-perennial crops n.e.c. growing of maize for fodder
2025,A,01210,Penanaman anggur,Growing of grapes,A,01210,Penanaman anggur,"Growing of grapes manufacture of wines, see 1102"
2025,A,01221,Penanaman pisang,Growing of banana,A,01221,Penanaman pisang,Growing of banana
2025,A,01222,Penanaman mangga,Growing of mango,A,01222,Penanaman mangga,Growing of mango
2025,A,01223,Penanaman durian,Growing of durian,A,01223,Penanaman durian,Growing of durian
2025,A,01224,Penanaman rambutan,Growing of rambutan,A,01224,Penanaman rambutan,Growing of rambutan
2025,A,01225,Penanaman buah belimbing,Growing of star fruit,A,01225,Penanaman buah belimbing,Growing of star fruit
2025,A,01226,Penanaman betik,Growing of papaya,A,01226,Penanaman betik,Growing of papaya
2025,A,01227,Penanaman nanas,Growing of pineapple,A,01227,Penanaman nenas,Growing of pineapple
2025,A,01228,Penanaman buah naga,Growing of pitaya (dragon fruit),A,01228,Penanaman buah naga,Growing of pitaya (dragon fruit)
2025,A,01229,Penanaman buah-buahan tropika dan subtropika lain t.t.t.l.,Growing of other tropical and subtropical fruits n.e.c.,A,01229,Penanaman buah-buahan tropika dan subtropika lain t.t.t.l,"Growing of other tropical and subtropical fruits n.e.c. ciku , duku, duku langsat, langsat, dokong, cempedak, kedondong, durian belanda, salak, pulasan, longan, mata kucing, jackfruit, mangosteen and avocado"
2025,A,01231,Penanaman limau bali,Growing of pomelo,A,01231,Penanaman limau bali,Growing of pomelo
2025,A,01232,Penanaman lemon dan limau nipis,Growing of lemon and limes,A,01232,Penanaman lemon dan limau nipis,Growing of lemon and limes
2025,A,01233,Penanaman tangerin dan mandarin,Growing of tangerines and mandarin,A,01233,Penanaman tangerin dan mandarin,Growing of tangerines and mandarin
2025,A,01239,Penanaman buah-buahan sitrus lain t.t.t.l.,Growing of other citrus fruits n.e.c.,A,01239,Penanaman buah-buahan sitrus lain t.t.t.l.,Growing of other citrus fruits n.e.c.
2025,A,01241,Penanaman jambu batu,Growing of guava,A,01241,Penanaman jambu batu,Growing of guava
2025,A,01249,Penanaman buah-buahan delima dan berbiji lain t.t.t.l.,Growing of other pome fruits and stones fruits n.e.c.,A,01249,Penanaman buah-buahan delima dan berbiji lain t.t.t.l,Growing of other pome fruits and stones fruits n.e.c.
2025,A,01251,Penanaman buah beri,Growing of berries,A,01251,Penanaman buah beri,"Growing of berries strawberries, blueberries, kiwi and other berries"
2025,A,01252,Penanaman biji benih buah-buahan,Growing of fruit seeds,A,01252,Penanaman biji benih buah-buahan,Growing of fruit seeds
2025,A,01253,Penanaman kekacang yang boleh dimakan,Growing of edible nuts,A,01253,Penanaman kekacang yang boleh dimakan,"Growing of edible nuts growing of cashew nuts, chestnuts, almonds, pistachios and other nut"
2025,A,01259,Penanaman pokok dan buah-buahan bertandan lain,Growing of other tree and bush fruits,A,01259,Penanaman pokok dan buah-buahan bertandan lain,Growing of other tree and bush fruits growing of locust beans
2025,A,01261,Penanaman kelapa sawit (estet),Growing of oil palm (estate),A,01261,Penanaman kelapa sawit (estet),Growing of oil palm (estate)
2025,A,01262,Penanaman kelapa sawit (kebun kecil),Growing of oil palm (smallholdings),A,01262,Penanaman kelapa sawit (kebun kecil),Growing of oil palm (smallholdings)
2025,A,01263,Penanaman kelapa (estet dan kebun kecil),Growing of coconut (estate and smallholdings),A,01263,Penanaman kelapa (estet dan kebun kecil),Growing of coconut (estate and smallholdings)
2025,A,01269,Penanaman buah-buah lain untuk minyak t.t.t.l.,Growing of other oleaginous fruits n.e.c.,A,01269,Penanaman buah-buah lain untuk minyak t.t.t.l.,Growing of other oleaginous fruits n.e.c.
2025,A,01271,Penanaman kopi,Growing of coffee,A,01271,Penanaman kopi,Growing of coffee
2025,A,01272,Penanaman teh,Growing of tea,A,01272,Penanaman teh,Growing of tea
2025,A,01273,Penanaman koko,Growing of cocoa,A,01273,Penanaman koko,Growing of cocoa
2025,A,01279,Penanaman tanaman minuman lain t.t.t.l.,Growing of other beverage crops n.e.c.,A,01279,Penanaman tanaman minuman lain t.t.t.l.,Growing of other beverage crops n.e.c.
2025,A,01281,Penanaman lada hitam (piper nigrum),Growing of pepper (piper nigrum),A,01281,Penanaman lada hitam (piper nigrum),Growing of pepper (piper nigrum)
2025,A,01170,Penanaman cili dan lada (lada benggala spp.),Growing of chilies and peppers (capsicum spp.),A,01282,Penanaman cili dan lada (lada benggala spp.),Growing of chilies and pepper (capsicum spp.)
2025,A,01283,Penanaman buah pala,Growing of nutmeg,A,01283,Penanaman buah pala,Growing of nutmeg
2025,A,01284,Penanaman halia,Growing of ginger,A,01284,Penanaman halia,Growing of ginger
2025,A,01285,"Penanaman tanaman untuk perubatan, farmaseutikal, minyak wangi, racun serangga dan seumpamanya","Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes",A,01285,"Penanaman tanaman yang digunakan terutamanya untuk penghasilan minyak wangi, untuk farmasi atau untuk racun serangga, kulat atau untuk tujuan yang seumpamanya","Growing of plants used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes growing of serai wangi, daun pandan and bunga tanjung a)growing of cat whiskers, see 01289 <br> b) growing of tongkat ali, see 01289"
2025,A,01289,Penanaman tanaman rempah ratus dan aromatik lain t.t.t.l.,Growing of other spices and aromatic crops n.e.c.,A,01289,Penanaman tanaman rempah ratus dan aromatik lain t.t.t.l,Growing of other spices and aromatic crops n.e.c. (a) growing of cat whiskers <br> (b) growing of tongkat ali <br> (c ) growing of cinnamon and cloves
2025,A,01282,Penanaman sacha inchi,Growing of sacha inchi,A,01289,Penanaman tanaman rempah ratus dan aromatik lain t.t.t.l,Growing of other spices and aromatic crops n.e.c. (a) growing of cat whiskers <br> (b) growing of tongkat ali <br> (c ) growing of cinnamon and cloves
2025,A,01291,Penanaman pokok getah (estet),Growing of rubber trees (estate),A,01291,Penanaman pokok getah (estet),Growing of rubber trees (estate)
2025,A,01292,Penanaman pokok getah (kebun kecil),Growing of rubber trees (smallholdings),A,01292,Penanaman pokok getah (kebun kecil),Growing of rubber trees (smallholdings)
2025,A,01293,Penanaman pokok untuk pengekstrakan sap,Growing of trees for extraction of sap,A,01293,Penanaman pokok untuk pengekstrakan sap,"Growing of trees for extraction of sap gathering of tree sap or rubber-like gums in the wild, see 02309"
2025,A,01294,Penanaman pokok nipah,Growing of nipa palm,A,01294,Penanaman pokok nipah,Growing of nipa palm
2025,A,01295,Penanaman pokok pinang,Growing of areca,A,01295,Penanaman pokok pinang,Growing of areca
2025,A,01195,Penanaman pokok roselle,Growing of roselle,A,01296,Penanaman pokok roselle,Growing of roselle
2025,A,01299,Penanaman tanaman kekal lain t.t.t.l.,Growing of other perennial crops n.e.c.,A,01299,Penanaman tanaman kekal lain t.t.t.l,Growing of other perennial crops n.e.c. (a) growing of Christmas tree <br>(b) growing of vegetables materials of a kind used primarily for planting
2025,A,01301,Penanaman tumbuhan sebagai tanaman,Growing of plants for planting,A,01301,Penanaman tumbuhan sebagai tanaman,Growing of plants for planting
2025,A,01302,Penanaman tumbuhan untuk tujuan hiasan,Growing of plants for ornamental purposes,A,01302,Penanaman tumbuhan untuk tujuan hiasan,Growing of plants for ornamental purposes turf for transplanting
2025,A,01303,"Penanaman tumbuhan untuk bebawang, ubi dan akar; keratan dan slips; benih cendawan","Growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn",A,01303,"Penanaman tumbuhan untuk bebawang, ubi dan akar; keratan dan slips; cendawan","Growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn"
2025,A,01304,Operasi tapak semaian pokok (nurseries),Operation of tree nurseries,A,01304,Operasi tapak semaian pokok (nurseries)(,"Operation of tree nurseries operation of forest tree nurseries, see 02103"
2025,A,01413,Pengeluaran susu mentah daripada lembu atau,"Raising, breeding and production of buffaloes",A,01411,"Penternakan, pembiakan dan pengeluaran lembu atau kerbau","Raising, breeding and production of cattle or buffaloes"
2025,A,01411,"Penternakan, pembiakan dan pengeluaran lembu","Raising, breeding and production of cattle",A,01411,"Penternakan, pembiakan dan pengeluaran lembu atau kerbau","Raising, breeding and production of cattle or buffaloes"
2025,A,01412,"Penternakan, pembiakan dan pengeluaran kerbau",Production of raw milk from cows or buffaloes,A,01412,Pengeluaran susu mentah daripada lembu atau kerbau,Production of raw milk from cows or buffaloes
2025,A,01411,"Penternakan, pembiakan dan pengeluaran lembu","Raising, breeding and production of cattle",A,01413,Pengeluaran air mani lembu,Production of bovine semen
2025,A,01420,"Penternakan dan pembiakan kuda, keldai, baghal","Raising and breeding of horses, asses, mules or hinnes",A,01420,"Penternakan dan pembiakan kuda, keldai, baghal atau hinnes","Raising and breeding of horses, asses, mules or hinnes"
2025,A,01430,Penternakan dan pembiakan unta (dromedary) dan,Raising and breeding of camels (dromedary) and camelids,A,01430,Penternakan dan pembiakan unta (dromedary) dan camelid,Raising and breeding of camels (dromedary) and camelids
2025,A,01441,"Penternakan, pembiakan dan pengeluaran biri-biri","Raising, breeding and production of sheep",A,01441,"Penternakan, pembiakan dan pengeluaran biri-biri dan kambing","Raising, breeding and production of sheep and goats"
2025,A,01442,"Penternakan, pembiakan dan pengeluaran kambing","Raising, breeding and production of goats",A,01441,"Penternakan, pembiakan dan pengeluaran biri-biri dan kambing","Raising, breeding and production of sheep and goats"
2025,A,01443,Pengeluaran susu mentah biri-biri atau kambing,Production of raw milk of sheep or goats,A,01442,Pengeluaran susu mentah biri-biri atau kambing,Production of raw sheep or goat’s milk
2025,A,01444,Pengeluaran bulu belum proses,Production of raw wool,A,01443,Pengeluaran bulu belum proses,Production of raw wool
2025,A,01450,"Penternakan, pembiakan dan pengeluaran babi","Raising, breeding and production of swine/pigs",A,01450,"Penternakan, pembiakan dan pengeluaran babi","Raising, breeding and production of swine/pigs"
2025,A,01461,"Penternakan, pembiakan dan pengeluaran ayam,","Raising, breeding and production of chicken, broiler",A,01461,"Penternakan, pembiakan dan pengeluaran ayam, ayam daging","Raising, breeding and production of chicken, broiler"
2025,A,01463,"Penternakan, pembiakan dan pengeluaran itik","Raising, breeding and production of laying hens",A,01461,"Penternakan, pembiakan dan pengeluaran ayam, ayam daging","Raising, breeding and production of chicken, broiler"
2025,A,01462,"Penternakan, pembiakan dan pengeluaran ayam penelur","Raising, breeding and production of ducks",A,01462,"Penternakan, pembiakan dan pengeluaran itik","Raising, breeding and production of ducks"
2025,A,01465,Penternakan dan pembiakan unggas lain t.t.t.l.,Raising and breeding of other poultry n.e.c.,A,01463,"Penternakan, pembiakan dan pengeluaran angsa","Raising, breeding and production of geese"
2025,A,01464,"Penternakan, pembiakan dan pengeluaran burung","Raising, breeding and production of quails",A,01464,"Penternakan, pembiakan dan pengeluaran burung puyuh","Raising, breeding and production of quails production of quail eggs"
